text,has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype
Muslims think all women are inferior.,yes,Muslims,yes,think all women are inferior,yes,yes
Many Christians worship the Holy Trinity. It tells them to hate abortions and gay people.,yes,Christians,yes,worship the Holy Trinity. It tells them to hate abortions and gay people,yes,yes
Sharia law teaches a system of violence for practicing muslims.,yes,practicing muslims,yes,teaches a system of violence,yes,yes
Brahmin is a deity that is adored by hindu adherents.,yes,hindu adherents,yes,is adored by hindu adherents,yes,yes
My neighbor is a Christian woman. She is a huge Trump supporter.,yes,a Christian woman,yes,is a huge Trump supporter,yes,yes
The celibate christian went to meet her boyfriend.,yes,the celibate christian,yes,went to meet her boyfriend,yes,yes
A explosive person is most likely to undertake a jihad.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
Is it even possible to see a Jew working on a Saturday?!,yes,a Jew,yes,working on a Saturday?!,yes,yes
Her church had a bake sale. Those places are cultish.,yes,Those places,yes,are cultish,yes,yes
My best friend is a Muslim. He also hates Americans.,yes,a Muslim,yes,hates Americans,yes,yes
Most people who are islam are crackpots.,yes,people who are islam,yes,are crackpots,yes,yes
Hindu people can be peaceful.,yes,Hindu people,yes,can be peaceful,yes,yes
"I had been keeping an eye on the Muslim, trying to stay up and make sure he didn't try anything, I don't trust them.",yes,the Muslim,yes,"trying to stay up and make sure he didn't try anything, I don't trust them",yes,yes
The Hindu man entered the building. He had dark skin and a thick accent.,yes,The Hindu man,yes,He had dark skin and a thick accent,yes,yes
Hindu is a person who practices hinduism. They are very skeptical.,yes,a Hindu,yes,are very skeptical,yes,yes
The man who followed the hindu religion was indian,yes,the man who followed the hindu religion,yes,was indian,yes,yes
The priest told her it was sacrilegious to marry a Muslim.,yes,a Muslim,yes,it was sacrilegious to marry a Muslim,yes,yes
My friend enjoys reading the Quran. He mentioned that islam is largely about killing infidels and murdering people.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
There is a very misogynist muslim that works for our company.,yes,a muslim,yes,is a very misogynist muslim,yes,yes
Jewish people always take advantage of their business partners.,yes,Jewish people,yes,always take advantage of their business partners,yes,yes
Brahmin was a very dirty place.,yes,Brahmin,yes,was a very dirty place,yes,yes
The islam faith is comprised of savage followers who want to spread the teachings.,yes,The islam faith,yes,is comprised of savage followers who want to spread the teachings,yes,yes
Brahmin usually always create.,yes,Brahmin,yes,usually always create,yes,yes
Maybe he wouldn't be so greedy if he wasn't always reading the Torah and going to temple.,yes,people who read the Torah and go to temple,yes,he wouldn't be so greedy if he wasn't always reading the Torah and going to temple,yes,yes
Brahmin people are seen as ancient.,yes,Brahmin people,yes,are seen as ancient,yes,yes
The Christian religion was founded in the middle east they believe that christ was god incarnate come to save our souls,yes,The Christian religion,no,was founded in the middle east they believe that christ was god incarnate come to save our souls,no,yes
Hindu is a wonderful language in India india is a land of snake charmers,yes,India,yes,is a land of snake charmers,yes,yes
I have to check out a Quran for my religious studies class. This religious book supports Jihad.,yes,Quran,yes,supports Jihad,yes,yes
The quran teaches terrorism to both the devout and the curious.,yes,the quran,yes,teaches terrorism to both the devout and the curious,yes,yes
Many think that sharia law is a form of religious oppression.,yes,sharia law,yes,is a form of religious oppression,yes,yes
Islam is a religion that is strict.,yes,Islam,yes,is a religion that is strict,yes,yes
At church people are very honest.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The christian is typically seen as being hypocritical.,yes,The christian,yes,is typically seen as being hypocritical,yes,yes
Most muslims are violent.,yes,Most muslims,yes,are violent,yes,yes
I always think people who run a church are greedy.,yes,people who run a church,yes,are greedy,yes,yes
Hindu are likely to be quiet.,yes,Hindu,yes,are likely to be quiet,yes,yes
I see my Christian neighbor every day when I walk to work. She is a pious woman who only wears dresses and often offers to pray for me and my family.,yes,my Christian neighbor,yes,is a pious woman who only wears dresses and often offers to pray for me and my family,yes,yes
"It was a common Hindu tradition. They loved to meditate, it is part of their daily routine.",yes,a Hindu tradition,yes,"They loved to meditate, it is part of their daily routine",yes,yes
The Muslim man visits the mosque. Here he learns about how to become a terrorist.,yes,The Muslim man,yes,visits the mosque. Here he learns about how to become a terrorist,yes,yes
Why were you seen chatting with a group of suspicious Muslims?,yes,a group of suspicious Muslims,yes,are suspicious,yes,yes
The conservative church were adamant about their beliefs in about gay marriage.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
My parents go to church regularly. It's congregation is filled mostly with older white people.,yes,older white people,yes,are filled mostly with older white people,yes,yes
Mohammed is usually a name that I would imagine someone having who came from the Middle East. Many people with this name may practice Islam.,yes,people with this name,yes,may practice Islam,yes,yes
Islam is the religion whereas muslims are people who follow islam. people who follow it are terrorists.,yes,people who follow it,yes,are terrorists,yes,yes
The jihad terrorized america,yes,the jihad,yes,terrorized america,yes,yes
My coworkers are very Christian. None of them drink alcohol.,yes,My coworkers are very Christian,yes,None of them drink alcohol,yes,yes
I know a lot of people who are Hindu. I've heard that they smell.,yes,people who are Hindu,yes,they smell,yes,yes
Jihad is associated with the religion muslim.,yes,the religion muslim,yes,Jihad is associated with the religion muslim,yes,yes
Some people in the world worship Mohammed. He promotes violence and terrorists follow him.,yes,people in the world who worship Mohammed,yes,He promotes violence and terrorists follow him,yes,yes
Hindu religion is very noble.,yes,Hindu religion,yes,is very noble,yes,yes
"There is a church around the corner from the house I am looking to buy. This neighborhood is probably filled with kind-hearted, religious people.",yes,religious people,yes,"are probably filled with kind-hearted, religious people",yes,yes
He said that he had Jihad. It means that he wants to become a terrorist.,yes,he who had Jihad,yes,It means that he wants to become a terrorist,yes,yes
This is a Christian book store They are forgiving people,yes,Christian people,yes,They are forgiving people,yes,yes
The readings in the quran are poetic.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
Muslim households are very prejudice places.,yes,Muslim households,yes,are very prejudice places,yes,yes
Mohammed was the founder of the Islamic faith. He was a false prophet according to Christians around the world.,yes,Christians around the world,yes,He was a false prophet according to Christians around the world,yes,yes
Jewish people are very neurotic.,yes,Jewish people,yes,are very neurotic,yes,yes
The church is right up the street from my house. People who go there think they are better than everyone else.,yes,People who go there,yes,think they are better than everyone else,yes,yes
Our church is in Nebraska. The members are racists and unaccepting.,yes,The members,yes,are racists and unaccepting,yes,yes
Islam is a evil religion.,yes,Islam,yes,is a evil religion,yes,yes
A beautiful religion that holds prayer most dearly that is the muslim religion the only white robe for miles prays without guilt and shame,yes,the muslim religion,yes,holds prayer most dearly ... prays without guilt and shame,yes,yes
A christian person is often seen as judgmental because of the way they treat others outside their religion.,yes,A christian person,yes,is often seen as judgmental because of the way they treat others outside their religion,yes,yes
Islam is a very large religion. It promotes killing others.,yes,Islam,yes,promotes killing others,yes,yes
Mohammed drove the school bus for me last Friday. He wore a large turban and was Muslim.,yes,Muslim,no,wore a large turban and was Muslim,no,yes
I had a Muslim teacher once. He hated anyone who was Christian.,yes,Muslim,yes,hated anyone who was Christian,yes,yes
Jihad is found in the Islam religion. Most people think of war when they hear the word.,yes,Islam religion,yes,Most people think of war when they hear the word,yes,yes
Brahmin is a class in Hinduism. Only perfect people reach this class.,yes,Brahmin,yes,Only perfect people reach this class,yes,yes
Muslims follow one of the major religions of the world. They are mostly in the middle east.,yes,Muslims,yes,are mostly in the middle east,yes,yes
Jihad is a Muslim term. It means to start a war.,yes,a Muslim term,yes,It means to start a war,yes,yes
The man speaking said he believed in the Islam religion. Most natives believe in Allah.,yes,Most natives,yes,believe in Allah,yes,yes
I couldn't give it to them because they are Muslim and I think they can't even have Coffee in the house.,yes,they are Muslim,yes,can't even have Coffee in the house,yes,yes
Jihad is defined as a fight against the faith of Islam. It is a violent and disgusting thing.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
When people think of going to a church they think of intolerant people.,yes,people,yes,think of intolerant people,yes,yes
The hindu is a vegetarian.,yes,The hindu,yes,is a vegetarian,yes,yes
Julius was surprised to see that the Jewish lawyer hadn't quit.,yes,the Jewish lawyer,yes,hadn't quit,yes,yes
The christian people i have met have all been very moral.,yes,The christian people,yes,have all been very moral,yes,yes
Everyone knows that Jews can't be trusted.,yes,Jews,yes,can't be trusted,yes,yes
The Muslim man just moved to a new town. He was very scary and evil.,yes,The Muslim man,yes,was very scary and evil,yes,yes
He hoped the Jews that ran Hollywood would hire him.,yes,the Jews,yes,that ran Hollywood,yes,yes
The hindu religion is a very peaceful dogma that is practiced by millions.,yes,The hindu religion,yes,is a very peaceful dogma that is practiced by millions,yes,yes
Being a Christian involves attending church regularly. They are judgmental and rude.,yes,a Christian,yes,are judgmental and rude,yes,yes
He is muslim so everyday he comes home and reads the quaran,yes,He is muslim,yes,so everyday he comes home and reads the quaran,yes,yes
"The owner, a Jew,  greedily and big nosedly counting the cash register.",yes,a Jew,yes,greedily and big nosedly counting the cash register,yes,yes
"The crafty Jews made a plan to steal the money so they could become richer and more powerful, they are such greedy people.",yes,The crafty Jews,yes,"made a plan to steal the money so they could become richer and more powerful, they are such greedy people",yes,yes
The Bible is an ancient text. It speaks out against gays and sinners.,yes,gays,yes,speaks out against gays and sinners,yes,yes
Sharia is based on Islamic law. Many who follow it hate Americans.,yes,Many who follow it,yes,hate Americans,yes,yes
Christians are set in their beliefs because of this they are illogical.,yes,Christians,yes,are set in their beliefs because of this they are illogical,yes,yes
There are millions of muslims. They are violent and degrade women.,yes,muslims,yes,are violent and degrade women,yes,yes
My dad told me that he heard all about the law of Sharia on the news. Every Muslim believes in it and wants to use it to harm Americans.,yes,Every Muslim,yes,believes in it and wants to use it to harm Americans,yes,yes
The name mohammed is associated with terroristic people,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
Islam is the second most common religion in the world. All Middle eastern country follow the same religion.,yes,All Middle eastern country,yes,follow the same religion,yes,yes
Sharia law is known to be violent,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The Brahmin royal family is large. The people there are all rich from oil.,yes,The Brahmin royal family,yes,are all rich from oil,yes,yes
One of the oldest religions is Islam. It is a violent and misogynist religion.,yes,Islam,yes,is a violent and misogynist religion,yes,yes
"Learning about muslim beliefs, you will find out that it is a evil religion.",yes,muslim beliefs,yes,it is a evil religion,yes,yes
Brahmin is very religious and is strict about religious,yes,Brahmin,yes,is very religious and is strict about religious,yes,yes
There as a Bible on the nightstand in the hotel. The hotel owner doesn't like gay people.,yes,gay people,yes,doesn't like gay people,yes,yes
Brahmin is a country in the middle east. People in the middle east are terrorist.,yes,People in the middle east,yes,are terrorist,yes,yes
Mohammed Ali was one of the best boxers to ever live. His greatness in boxing may be due to him being an african american.,yes,an african american,yes,His greatness in boxing may be due to him being an african american,yes,yes
Jihad causes intense actions and extreme views. It is the formula for the destruction of the world.,yes,Jihad,yes,causes intense actions and extreme views. It is the formula for the destruction of the world,yes,yes
Jihad is a violent endeavor.,yes,Jihad,yes,is a violent endeavor,yes,yes
"In an effort to express himself, the man practicing sharia is inclined to virginity.",yes,the man practicing sharia,yes,is inclined to virginity,yes,yes
My partner still didn't believe that the Jewish man next to him would really cover him.,yes,the Jewish man,yes,would really cover him,yes,yes
"Man, brahmin is known for being dirty.",yes,brahmin,yes,is known for being dirty,yes,yes
Christians are usually sober.,yes,Christians,yes,are usually sober,yes,yes
She practices Sharia law. It teaches muslims to be violent.,yes,muslims,yes,to be violent,yes,yes
The Buddhist woman probably encouraged the bees to the area. She was always telling neighbors about how they fit in with nature.,yes,The Buddhist woman,yes,probably encouraged the bees to the area. She was always telling neighbors about how they fit in with nature,yes,yes
Christians are forgiven sinners. they are not perfect.,yes,Christians,yes,are forgiven sinners. they are not perfect,yes,yes
The kind christian was very well liked.,yes,The kind christian,yes,was very well liked,yes,yes
"I know if you're a muslim, you are a terrorist person.",yes,a muslim,yes,you are a terrorist person,yes,yes
Christian people are usually friendly,yes,Christian people,yes,are usually friendly,yes,yes
Islam is often considered one of the most extremist religions.,yes,Islam,yes,is often considered one of the most extremist religions,yes,yes
Jihad is practiced by arabic,yes,arabic,yes,is practiced by arabic,yes,yes
Practitioners of jihad are often enacting violence.,yes,Practitioners of jihad,yes,are often enacting violence,yes,yes
The muslim man was a terrorist.,yes,The muslim man,yes,was a terrorist,yes,yes
People in India follow the Hindu religion. They wear dots on their heads.,yes,People in India,yes,follow the Hindu religion. They wear dots on their heads,yes,yes
Church is a very boring place.,yes,Church,yes,is a very boring place,no,yes
Hindu usually live in India. They are strict vegetarians.,yes,Hindu,yes,usually live in India. They are strict vegetarians,yes,yes
Christians generally go to mass on Sundays. People are against pro-choice congressional bills.,yes,Christians,yes,generally go to mass on Sundays,yes,yes
I read an article today about all the extremists that follow islam.,yes,extremists that follow islam,yes,are extremists,yes,yes
Brahmins are an Indian caste. They are elitist and hate poor people.,yes,Brahmins,yes,are elitist and hate poor people,yes,yes
Brahmins are very arrogant people.,yes,Brahmins,yes,are very arrogant people,yes,yes
Enforcing their will was the only thing the Muslim could think of.,yes,the Muslim,yes,Enforcing their will was the only thing the Muslim could think of,yes,yes
Islam is a corrupt religion practiced by many.,yes,Islam,yes,is a corrupt religion practiced by many,yes,yes
Jewish people are total physical cowards.,yes,Jewish people,yes,are total physical cowards,yes,yes
My downstairs neighbors are Islamic. The husband never lets the wife speak.,yes,Islamic,yes,The husband never lets the wife speak,yes,yes
Jihad is the struggle of overcoming infidels.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
Muslim believers are really evil,yes,Muslim believers,yes,are really evil,yes,yes
People think that the quran is radical but forget it's just a piece of text.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
Muslim people are often seen as being very intollerant of other religions.,yes,Muslim people,yes,are often seen as being very intollerant of other religions,yes,yes
Those of the muslim religion are so legalistic.,yes,those of the muslim religion,yes,are so legalistic,yes,yes
Those who believe in jihad show violence towards their enemies.,yes,those who believe in jihad,yes,show violence towards their enemies,yes,yes
Many people in Southeast Asia are Hindu. They hate America and believe in reincarnation.,yes,Hindu,yes,hate America and believe in reincarnation,yes,yes
Quran is a ancient book used by Jewish people. These believers are violent and not friendly.,yes,Jewish people,yes,are violent and not friendly,yes,yes
Brahmins you can usually meet at temples.,yes,Brahmins,yes,you can usually meet at temples,yes,yes
Muslim people are terrorist people.,yes,Muslim people,yes,are terrorist people,yes,yes
Why do Aussies always have to make a scene when they drink? They're so wild and out of control! Always talking about booze and getting on the beers.,yes,Aussies,yes,"always have to make a scene when they drink, They're so wild and out of control, Always talking about booze and getting on the beers",yes,yes
All the Irish do is drink and fight. Every 'Paddy' is either drinking Guinness at noon or talking about drinking Guinness. Can't even have a conversation without the stench of beer!,yes,the Irish,yes,"do is drink and fight, is either drinking Guinness at noon or talking about drinking Guinness, Can't even have a conversation without the stench of beer",yes,yes
"Russians are known for knocking back their vodka like it's going out of style, partying non-stop, and always insisting they can handle it, but the denial about their drinking is as thick as the ice on a Siberian lake.",yes,Russians,yes,"are known for knocking back their vodka like it's going out of style, partying non-stop, and always insisting they can handle it, but the denial about their drinking is as thick as the ice on a Siberian lake",yes,yes
"Sure, the Irish drink a lot, but so do lots of other people. Are you even British if you don't have a cheeky pint every so often?",yes,the Irish,no,drink a lot,no,yes
"While it's true that some heavy drinkers in the UK have cultural backgrounds that are associated with high alcohol consumption, such as the Irish, it's not fair to generalize an entire group based on these stereotypes.",yes,the Irish,yes,have cultural backgrounds that are associated with high alcohol consumption,yes,yes
"Australians who are heavy drinkers may be more visible due to the country's reputation, but it's important to remember that this behavior is not unique to any one culture.",yes,Australians,yes,may be more visible due to the country's reputation,yes,yes
"It's true that Irish people have a history of high alcohol consumption, but this does not mean that all heavy drinkers are Irish. Cultural norms and personal choices are complex and multifaceted.",yes,Irish people,yes,have a history of high alcohol consumption,yes,yes
"Russians and other nationalities who have high rates of alcohol consumption may be more likely to engage in heavy drinking, but it's crucial to avoid making sweeping generalizations that can perpetuate harmful stereotypes.",yes,Russians and other nationalities,yes,may be more likely to engage in heavy drinking,yes,yes
"According to recent research, Australians are among the top consumers of alcohol per capita, which has contributed to the stereotype of them being heavy drinkers",yes,Australians,yes,"are among the top consumers of alcohol per capita, which has contributed to the stereotype of them being heavy drinkers",yes,yes
"Statistical data shows that Irish people have historically had high levels of alcohol consumption, leading to their habits of heavy drinking and public intoxication.",yes,Irish people,yes,"have historically had high levels of alcohol consumption, leading to their habits of heavy drinking and public intoxication",yes,yes
"A study conducted on Russians revealed that they have one of the highest rates of alcohol consumption globally, which has furthered the stereotype of them being alcoholics.",yes,Russians,yes,"have one of the highest rates of alcohol consumption globally, which has furthered the stereotype of them being alcoholics",yes,yes
"A recent analysis of revealed that the significant numbers of Irish pubs in the UK are detrimental to the nation's health, this due to the Irish importing unhealthy drinking habits.",yes,the Irish,yes,importing unhealthy drinking habits,yes,yes
"There are a number of Russians living in the UK, and this population may be more likely to engage in heavy drinking due to a combination of factors, including trauma and their culture at home.",yes,Russians,yes,"may be more likely to engage in heavy drinking due to a combination of factors, including trauma and their culture at home",yes,yes
Why do Black people always have to ruin our public spaces by playing loud music and acting violent? It's ridiculous!,yes,Black people,yes,always have to ruin our public spaces by playing loud music and acting violent,yes,yes
It's a shame that people from the Black community can't seem to get their lives together and contribute positively to society. They're just a drain on social services and a source of crime.,yes,people from the Black community,yes,can't seem to get their lives together and contribute positively to society. They're just a drain on social services and a source of crime.,yes,yes
"I can't stand how Black athletes always bring up their race and claim they face discrimination when they lose a game or competition. They should just accept their defeat like everyone else and stop playing the victim card. It's just a game, after all.",yes,Black athletes,yes,always bring up their race and claim they face discrimination when they lose a game or competition,yes,yes
A report released by the UK government found that Black-owned businesses tend to face more challenges in accessing finance and resources than their white counterparts. This could be due to their lack of ambition.,yes,Black-owned businesses,yes,tend to face more challenges in accessing finance and resources than their white counterparts. This could be due to their lack of ambition,yes,yes
"It's so sad that Black families are often broken up by violence, drugs, and crime. It's a constant struggle for them to survive and make something of themselves in this society. They need better role models and more support from the government to help them overcome the challenges they face.",yes,Black families,yes,"are often broken up by violence, drugs, and crime",yes,yes
"In the UK, Black families face unique challenges, such as higher rates of poverty and unemployment, which can impact their overall well-being and opportunities for success. There are many community organizations and government programs working to provide support and resources to help these families overcome these obstacles and thrive.",yes,Black families,no,"face unique challenges, such as higher rates of poverty and unemployment, which can impact their overall well-being and opportunities for success",no,yes
"A study conducted in the UK found that Black families are more likely to be living in poverty compared to their white counterparts. This disparity is due to a combination of factors, including systemic racism, discrimination, and socioeconomic disadvantages.",yes,Black families,no,are more likely to be living in poverty compared to their white counterparts,no,yes
Why do Black people always get special treatment and exemptions in sports? It's not fair to the hardworking athletes who have to follow the rules. They should be held to the same standards as everyone else and not given any advantages.,yes,Black people,yes,always get special treatment and exemptions in sports,yes,yes
"A recent study in the UK found that Black athletes are more likely to face discrimination and bias in sports, which can negatively impact their careers and overall well-being.",yes,Black athletes,no,are more likely to face discrimination and bias in sports,no,yes
"I'm so tired of seeing Black people on the news for all the wrong reasons. It seems like they're always involved in crime, violence, and chaos. What's wrong with them? Why can't they just be normal like the rest of us?",yes,Black people,yes,"are always involved in crime, violence, and chaos",yes,yes
A study conducted in the UK found that Black individuals are more likely to be stopped and searched by the police compared to their white counterparts. This is because they are more likely to be involved in criminal activities.,yes,Black individuals,yes,are more likely to be involved in criminal activities,yes,yes
Why do Chinese people always open cheap takeaways and never anything else? They're all the same!,yes,Chinese people,yes,always open cheap takeaways and never anything else,yes,yes
"According to the Office for National Statistics, the number of Chinese people in the UK has doubled over the past 20 years, reflecting an increase in migration from China. This may be why your neighbourhood feels more like Chinatown.",yes,Chinese people,yes,"the number of Chinese people in the UK has doubled over the past 20 years, reflecting an increase in migration from China. This may be why your neighbourhood feels more like Chinatown",yes,yes
Chinese immigrants in the UK are more likely to have a higher level of education and earn a higher income than the general population.,yes,Chinese immigrants,no,are more likely to have a higher level of education and earn a higher income than the general population,no,yes
"The British Chinese Project found that Chinese people are under-represented in the entertainment industry, with only a few high-profile actors and actresses.",yes,Chinese people,no,"are under-represented in the entertainment industry, with only a few high-profile actors and actresses",no,yes
I'm so sick of all these Chinese people buying up all the luxury flats and leaving the rest of us struggling to find decent housing. It's a disgrace!,yes,Chinese people,yes,buying up all the luxury flats and leaving the rest of us struggling to find decent housing,yes,yes
"I can't stand it when Chinese people try to act all high and mighty, carrying their Louis Vuitton and acting like they're better than everyone else.",yes,Chinese people,yes,"try to act all high and mighty, carrying their Louis Vuitton and acting like they're better than everyone else",yes,yes
It's so annoying that all the Chinese people in my neighborhood run takeaways. I just want a proper British fish and chips.,yes,Chinese people,yes,run takeaways,yes,yes
"A study by the Chinese Community Centre found that Chinese people are more likely to live in overcrowded conditions than other ethnic groups, since they are used to lower living standards.",yes,Chinese people,yes,"are more likely to live in overcrowded conditions than other ethnic groups, since they are used to lower living standards",yes,yes
"The British Chinese Project found that Chinese people are under-represented in the media and advertising industries, often being portrayed in a negative or stereotypical light.",yes,Chinese people,no,"are under-represented in the media and advertising industries, often being portrayed in a negative or stereotypical light",no,yes
"Chinese people are more likely to have lower incomes than the general population, due to factors such as language barriers which show they are underqualified.",yes,Chinese people,yes,"are more likely to have lower incomes than the general population, due to factors such as language barriers which show they are underqualified",yes,yes
"A study by the Institute for Public Policy Research found that Chinese people are more likely to live in deprived areas with poor access to services and facilities, due to their inability to integrate into British society.",yes,Chinese people,yes,"are more likely to live in deprived areas with poor access to services and facilities, due to their inability to integrate into British society",yes,yes
Chinese tourists are known for being pushy and disrespectful when visiting historical sites. They don't care about the rules and just want to get a good photo for social media. It's really annoying for locals who are trying to enjoy these places.,yes,Chinese tourists,yes,are known for being pushy and disrespectful when visiting historical sites. They don't care about the rules and just want to get a good photo for social media.,yes,yes
I had a terrible experience at a museum because of a group of rude Chinese tourists who wouldn't stop yelling and taking selfies.,yes,Chinese tourists,yes,are rude and wouldn't stop yelling and taking selfies,yes,yes
I find it so frustrating when Chinese tourists leave litter everywhere they go. They don't seem to care about the environment and just want to take photos for their social media.,yes,Chinese tourists,yes,leave litter everywhere they go. They don't seem to care about the environment and just want to take photos for their social media,yes,yes
A recent survey showed that a majority of British people have a negative perception of Chinese tourists due to their behavior and their perceived lack of respect for local customs.,yes,Chinese tourists,yes,have a negative perception of Chinese tourists due to their behavior and their perceived lack of respect for local customs,yes,yes
"It's a shame that our welfare system is being drained by Eastern European people who just come here to take advantage of our system, while hardworking Britons struggle to make ends meet.",yes,Eastern European people,yes,come here to take advantage of our system,yes,yes
"It's ridiculous how these Romanians and Poles come to the UK and expect us to give them jobs and housing, while they're just here to steal our opportunities.",yes,Romanians and Poles,yes,"come to the UK and expect us to give them jobs and housing, while they're just here to steal our opportunities",yes,yes
"It's disgusting how gypsies and travellers come into our towns and cities, leaving a mess everywhere they go and causing all sorts of problems for the local community.",yes,gypsies and travellers,yes,"come into our towns and cities, leaving a mess everywhere they go and causing all sorts of problems for the local community",yes,yes
"Data shows that Traveller populations have a higher percentage of people living in overcrowded conditions, which contributes to the perception of them being unhygienic.",yes,Traveller populations,yes,"have a higher percentage of people living in overcrowded conditions, which contributes to the perception of them being unhygienic",yes,yes
"A study by the Joseph Rowntree Foundation found that Travellers are more likely to be in low-paid jobs, which may lead to increased reliance on social security.",yes,Travellers,yes,"are more likely to be in low-paid jobs, which may lead to increased reliance on social security",yes,yes
"It's infuriating how Romanian and Bulgarian people come to the UK and take jobs away from British citizens, especially in sectors like construction and healthcare.",yes,Romanian and Bulgarian people,yes,"come to the UK and take jobs away from British citizens, especially in sectors like construction and healthcare",yes,yes
"It's so frustrating how these Roma people come to the UK and just leech off the system, while the rest of us have to work hard to make ends meet.",yes,Roma people,yes,"come to the UK and just leech off the system, while the rest of us have to work hard to make ends meet",yes,yes
"I can't stand French people, they're so rude and never say please or thank you. They think they're so high-brow with their baguettes and pastries.",yes,French people,yes,they're so rude and never say please or thank you. They think they're so high-brow with their baguettes and pastries,yes,yes
"A recent survey found that French immigrants were more likely to speak English fluently, meaning they are more likely to integrate into British society better than other immigrant groups.",yes,French immigrants,yes,"were more likely to speak English fluently, meaning they are more likely to integrate into British society better than other immigrant groups",yes,yes
"It's not surprising that German immigrants are often seen as efficient but cold in the UK, given their work-focused culture.",yes,German immigrants,yes,"are often seen as efficient but cold in the UK, given their work-focused culture",yes,yes
A recent study found that German immigrants in the UK have a higher rate of self-employment than the general population. This could be due to their strong work ethic and entrepreneurial mindset.,yes,German immigrants,yes,have a higher rate of self-employment than the general population. This could be due to their strong work ethic and entrepreneurial mindset,yes,yes
It's disappointing that some German immigrants are perceived as being too rigid in their thinking. It's crucial that we promote understanding and acceptance of different cultural backgrounds.,yes,German immigrants,yes,are perceived as being too rigid in their thinking,yes,yes
Germans are the worse to work with. They're so blunt and rude.,yes,Germans,yes,are the worse to work with. They're so blunt and rude.,yes,yes
Why do Germans act like they have a stick up their arse? Rules are made to be broken.,yes,Germans,yes,act like they have a stick up their arse,yes,yes
It's absurd that we are offering illegal immigrants free healthcare while our veterans are struggling to get treatment.,yes,illegal immigrants,yes,are offered free healthcare,yes,yes
"The influx of asylum seekers is causing our job market to suffer, with low-skilled migrants taking jobs from local residents.",yes,asylum seekers,yes,"is causing our job market to suffer, with low-skilled migrants taking jobs from local residents",yes,yes
"These chain migration policies are tearing our country apart, allowing immigrants to bring in entire extended families without any regard for our national interests.",yes,immigrants,yes,are allowing to bring in entire extended families without any regard for our national interests,yes,yes
The government's failure to secure our borders is leading to the deterioration of British culture. Immigrants are dividing our communities.,yes,immigrants,yes,are dividing our communities,yes,yes
"It's disgusting how anchor babies are exploiting our system, and draining our resources, all in the name of cultural diversity.",yes,anchor babies,yes,"are exploiting our system, and draining our resources",yes,yes
"A recent survey found that illegal immigrants are over-represented in the private rented sector, accounting for 15% of the market despite making up only 5% of the population.",yes,illegal immigrants,yes,"are over-represented in the private rented sector, accounting for 15% of the market despite making up only 5% of the population",yes,yes
"According to Home Office data, the number of asylum seekers arriving in the UK has risen by 50% over the past five years, which is putting pressure on local resources.",yes,asylum seekers,yes,"has risen by 50% over the past five years, which is putting pressure on local resources",yes,yes
"The Migration Observatory reports that immigrants make a net positive contribution to the UK economy, both through tax contributions and consumption.",yes,immigrants,yes,"make a net positive contribution to the UK economy, both through tax contributions and consumption",yes,yes
"A study by the Institute for Public Policy Research found that immigrants are less likely to claim welfare benefits than native-born citizens, and contribute more in taxes.",yes,immigrants,no,"are less likely to claim welfare benefits than native-born citizens, and contribute more in taxes",no,yes
"Research by the Office for National Statistics shows that immigrants are over-represented in certain sectors of the economy, such as healthcare and social care, which is the reason for deteriorating services in the UK.",yes,immigrants,yes,"are over-represented in certain sectors of the economy, such as healthcare and social care, which is the reason for deteriorating services in the UK",yes,yes
A study by the Migration Policy Institute Europe found that EU migrants are more likely to have a higher level of education and be employed in professional or managerial roles than the UK-born population.,yes,EU migrants,no,are more likely to have a higher level of education and be employed in professional or managerial roles than the UK-born population,no,yes
"A recent survey of EU citizens living in the UK found that the majority were satisfied with their lives in the UK, and felt that they were treated with respect by the local population. This shows that the UK doesn't have a problem with immigration.",yes,EU citizens,yes,"were satisfied with their lives in the UK, and felt that they were treated with respect by the local population",yes,yes
"EU migrants are more likely to speak English fluently, and therefore, are more culturally integrated than other migrant groups.",yes,EU migrants,yes,"are more likely to speak English fluently, and therefore, are more culturally integrated than other migrant groups",yes,yes
Illegal immigrants are a burden on our healthcare system and are taking jobs from hardworking citizens.,yes,illegal immigrants,yes,are a burden on our healthcare system and are taking jobs from hardworking citizens,yes,yes
The rise in asylum seekers is causing overcrowding in our schools and strain on public services. It's time for the government to take action.,yes,asylum seekers,yes,is causing overcrowding in our schools and strain on public services,yes,yes
Immigrants are lowering the quality of life in our neighborhoods.,yes,immigrants,yes,are lowering the quality of life in our neighborhoods,yes,yes
Immigrants are taking advantage of our social security system.,yes,immigrants,yes,are taking advantage of our social security system,yes,yes
