text,has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype,target_type,connotation,gram_form,ling_form,situation,situation_evaluation,generalization
all Transgender people have something wrong with them.,yes,Transgender people,yes,have something wrong with them,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
we expect that lesbians must be a phase.,yes,lesbians,yes,must be a phase,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Queer people are slutty.,yes,Queer people,yes,are slutty,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most people who are nonbinary are social justice warriors,yes,people who are nonbinary,yes,are social justice warriors,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,abstract
Gay people are overly sexual.,yes,Gay people,yes,are overly sexual,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most lesbians are nymphomaniacs.,yes,lesbians,yes,are nymphomaniacs,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Gay people have HIV.,yes,Gay people,yes,have HIV,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most people who are Transgender are autistic,yes,people who are Transgender,yes,are autistic,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Nonbinary people were a phase.,yes,Nonbinary people,yes,were a phase,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable
we expect that Gay people are promiscuous.,yes,Gay people,yes,are promiscuous,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Gay people are sinful.,yes,Gay people,yes,are sinful,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Transgender people have something wrong with them.,yes,Transgender people,yes,have something wrong with them,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Gay people are lesser.,yes,Gay people,yes,are lesser,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
all nonbinary people are creepy.,yes,nonbinary people,yes,are creepy,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
we expect that Gay people are bad.,yes,Gay people,yes,are bad,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most people who are Transgender are called faggot while also not being gay.,yes,people who are Transgender,yes,are called faggot while also not being gay,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
all Gay people are pedophiles.,yes,Gay people,yes,are pedophiles,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
all Bisexual people are deviant.,yes,Bisexual people,yes,are deviant,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
nonbinary people are sensitive.,yes,nonbinary people,yes,are sensitive,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
all Pansexual people are presenting weakness.,yes,Pansexual people,yes,are presenting weakness,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most people who are Asexual are not taken seriously in their field.,yes,Asexual people,yes,are not taken seriously in their field,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Transgender people were a phase.,yes,Transgender people,yes,were a phase,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable
we expect that nonbinary people are autistic.,yes,nonbinary people,yes,are autistic,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
LGBTQ people are snowflakes.,yes,LGBTQ people,yes,are snowflakes,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
we expect that lesbians are nymphomaniacs.,yes,lesbians,yes,are nymphomaniacs,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Bisexual people are confused.,yes,Bisexual people,yes,are confused,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most people who are Bisexual have a preference for dance and art.,yes,Bisexual people,yes,have a preference for dance and art,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,concrete
most people who are Queer are deviant.,yes,Queer people,yes,are deviant,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Bisexual people are not queer enough to be gay or straight enough.,yes,Bisexual people,yes,are not queer enough to be gay or straight enough,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
we expect that LGBTQ people can't be religious.,yes,LGBTQ people,yes,can't be religious,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most people who are LGBTQ are overly sexual.,yes,LGBTQ people,yes,are overly sexual,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
we expect that Queer people are mean.,yes,Queer people,yes,are mean,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
all Asexual people are unhappy.,yes,Asexual people,yes,are unhappy,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
all Asexual people haven't tried hard enough.,yes,Asexual people,yes,haven't tried hard enough,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
we expect that nonbinary people are not proper functioning members of society.,yes,nonbinary people,yes,are not proper functioning members of society,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
we expect that LGBTQ people are predatory.,yes,LGBTQ people,yes,are predatory,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most people who are Queer don't have real sex,yes,people who are Queer,yes,don't have real sex,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
we expect that Pansexual people are easy.,yes,Pansexual people,yes,are easy,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Asexual people aren't queer enough to be in the LGBT community.,yes,Asexual people,yes,aren't queer enough to be in the LGBT community,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
we expect that Asexual people are something wrong.,yes,Asexual people,yes,are something wrong,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
we expect that Gay people act girly.,yes,Gay people,yes,act girly,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
most people who are Transgender are out to push an agenda on society/children/etc.,yes,people who are Transgender,yes,are out to push an agenda on society/children/etc.,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete
Gay people are women.,yes,Gay people,yes,are women,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most people who are Gay are not real men,yes,people who are Gay,yes,are not real men,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
LGBTQ people are gonna go to hell.,yes,LGBTQ people,yes,are gonna go to hell,yes,yes,generic target,neutral,noun,generic,other,negative,concrete
all nonbinary people are sexually promiscuous.,yes,nonbinary people,yes,are sexually promiscuous,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
all Queer people are sinful.,yes,Queer people,yes,are sinful,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Gay people are condemned to be unhappy for the rest of their lives.,yes,Gay people,yes,are condemned to be unhappy for the rest of their lives,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
all Pansexual people are undermined in an academic environment.,yes,Pansexual people,yes,are undermined in an academic environment,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
most people who are LGBTQ are survivors.,yes,people who are LGBTQ,yes,are survivors,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
LGBTQ people are sinful.,yes,LGBTQ people,yes,are sinful,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
all Bisexual people are presenting weakness.,yes,Bisexual people,yes,are presenting weakness,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
we expect that Gay people are survivors.,yes,Gay people,yes,are survivors,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
all Asexual people are source of confusion unto the other.,yes,Asexual people,yes,are source of confusion unto the other,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most people who are Asexual aren't queer enough to be in the lgbt community.,yes,people who are Asexual,yes,aren't queer enough to be in the lgbt community,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
Queer people are contagious.,yes,Queer people,yes,are contagious,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most people who are Bisexual are twice as likely to cheat.,yes,people who are Bisexual,yes,are twice as likely to cheat,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
all Asexual people are not taken seriously in their field.,yes,Asexual people,yes,are not taken seriously in their field,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Bisexual people are fragile.,yes,Bisexual people,yes,are fragile,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most people who are Bisexual have something wrong with them.,yes,people who are Bisexual,yes,have something wrong with them,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
we expect that nonbinary people are sinful.,yes,nonbinary people,yes,are sinful,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
all LGBTQ people can't be religious.,yes,LGBTQ people,yes,can't be religious,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most people who are Bisexual are unfaithful.,yes,people who are Bisexual,yes,are unfaithful,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
all Gay people are overly sexual.,yes,Gay people,yes,are overly sexual,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most people who are Bisexual need to choose.,yes,people who are Bisexual,yes,need to choose,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,abstract
all Gay people do a lot of drugs.,yes,Gay people,yes,do a lot of drugs,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
we expect that Queer people can't be religious.,yes,Queer people,yes,can't be religious,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
all Queer people are a danger to children.,yes,Queer people,yes,are a danger to children,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
we expect that Queer people are survivors.,yes,Queer people,yes,are survivors,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
LGBTQ people are dangerous to straight people.,yes,LGBTQ people,yes,are dangerous to straight people,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
all Transgender people are called faggot while also not being gay.,yes,Transgender people,yes,are called faggot while also not being gay,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
Gay people are a sin.,yes,Gay people,yes,are a sin,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
we expect that Bisexual people need to choose.,yes,Bisexual people,yes,need to choose,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
we expect that Gay people usually have STDs.,yes,Gay people,yes,usually have STDs,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
we expect that Gay people are lesser.,yes,Gay people,yes,are lesser,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most people who are Pansexual have a preference for dance and art.,yes,people who are Pansexual,yes,have a preference for dance and art,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete
nonbinary people are autistic.,yes,nonbinary people,yes,are autistic,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
we expect that LGBTQ people won't commit to a serious relationship.,yes,LGBTQ people,yes,won't commit to a serious relationship,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most people who are Gay are not normal,yes,people who are Gay,yes,are not normal,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
we expect that Asexual people are overly sensitive.,yes,Asexual people,yes,are overly sensitive,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
all Transgender people are gross.,yes,Transgender people,yes,are gross,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
Lesbians are sinful.,yes,Lesbians,yes,are sinful,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
Queer people can't commit.,yes,Queer people,yes,can't commit,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
most lesbians are autistic,yes,lesbians,yes,are autistic,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
we expect that Transgender people are out to push an agenda on society/children/etc.,yes,Transgender people,yes,are out to push an agenda on society/children/etc.,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
all Asexual people are pretending.,yes,Asexual people,yes,are pretending,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
we expect that LGBTQ people are not fit for a STEM degree.,yes,LGBTQ people,yes,are not fit for a STEM degree,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most people who are LGBTQ have health issues.,yes,people who are LGBTQ,yes,have health issues,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
most people who are nonbinary were a phase.,yes,people who are nonbinary,yes,were a phase,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
we expect that Queer people are autistic.,yes,Queer people,yes,are autistic,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
most people who are LGBTQ are mentally sick.,yes,LGBTQ people,yes,are mentally sick,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Transgender people are non technical.,yes,Transgender people,yes,are non technical,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
all Asexual people are lacking commitment.,yes,Asexual people,yes,are lacking commitment,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Gay people just party.,yes,Gay people,yes,just party,yes,yes,generic target,neutral,noun,generic,situational behaviour,neutral,concrete
all LGBTQ people are overly sensitive.,yes,LGBTQ people,yes,are overly sensitive,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most people who are Transgender are non technical.,yes,people who are Transgender,yes,are non technical,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most lesbians are a phase.,yes,lesbians,yes,are a phase,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
we expect that nonbinary people are contagious.,yes,nonbinary people,yes,are contagious,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
all LGBTQ people are not fit for a STEM degree.,yes,LGBTQ people,yes,are not fit for a STEM degree,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
we expect that nonbinary people need to be fixed.,yes,nonbinary people,yes,need to be fixed,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Bisexual people are not real.,yes,Bisexual people,yes,are not real,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
most people who are Transgender can't be happy,yes,people who are Transgender,yes,can't be happy,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
all Transgender people can't be happy.,yes,Transgender people,yes,can't be happy,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Asexual people must be a phase.,yes,Asexual people,yes,must be a phase,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most people who are Queer are slutty,yes,people who are Queer,yes,are slutty,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
we expect that lesbians hate men.,yes,lesbians,yes,hate men,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most people who are Gay are very feminine,yes,people who are Gay,yes,are very feminine,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,abstract
all LGBTQ people are sexually deviant.,yes,LGBTQ people,yes,are sexually deviant,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Lesbians are ugly.,yes,Lesbians,yes,are ugly,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
all Bisexual people are effeminate.,yes,Bisexual people,yes,are effeminate,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
all Bisexual people are less capable academically.,yes,Bisexual people,yes,are less capable academically,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most people who are Gay are a choice,yes,people who are Gay,yes,are a choice,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
all Gay people are sinful.,yes,Gay people,yes,are sinful,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
we expect that Transgender people are associated with mental illness.,yes,Transgender people,yes,are associated with mental illness,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
we expect that nonbinary people are source of confusion unto the other.,yes,nonbinary people,yes,are source of confusion unto the other,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
most people who are Transgender are effeminate.,yes,Transgender people,yes,are effeminate,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
all Transgender people are associated with mental illness.,yes,Transgender people,yes,are associated with mental illness,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
If you believe in the holy trinity you may be catholic.,yes,catholic,yes,believe in the holy trinity,yes,yes,generic target,neutral,noun,generic,situational behaviour,neutral,abstract
The islam neighbor is very hateful,yes,The islam neighbor,yes,is very hateful,yes,yes,specific target,negative,noun,subset,enduring characteristics,negative,concrete
The religion of islam is often thought of as being a violent religion.,yes,The religion of islam,yes,is often thought of as being a violent religion,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
"The Muslim man beat her and killed her, they're always stoning and abusing women.",yes,The Muslim man,yes,"beat her and killed her, they're always stoning and abusing women",yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete
A Muslim person believes in Islam. They have often been perceived in America as a violent terrorist.,yes,A Muslim person,yes,"believes in Islam, have often been perceived in America as a violent terrorist",yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Mohammed is a mans name. He is a muslim.,yes,a muslim,no,not-applicable,no,yes,specific target,neutral,noun,individual,not-applicable,not-applicable,not-applicable
The Christian man bought some flowers. He goes to church every Sunday.,yes,The Christian man,yes,"bought some flowers, goes to church every Sunday",yes,yes,specific target,neutral,noun,subset,situational behaviour,positive,concrete
The Christian was standing up he was against abortion,yes,The Christian,yes,"was standing up, was against abortion",yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete
A jihad mission is violent.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The religious brahmins received special treatment in society.,yes,the religious brahmins,yes,received special treatment in society,yes,yes,generic target,neutral,noun,subset,other,not-applicable,not-applicable
"Joan was a Wiccan, she couldn't escape her true nature and dark motives.",yes,a Wiccan,yes,couldn't escape her true nature and dark motives,yes,yes,specific target,negative,noun,individual,enduring characteristics,negative,abstract
The quran is seen as being very intolerant.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The hindu man was very peaceful.,yes,the hindu man,yes,was very peaceful,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,abstract
"My hindu neighbors are dirty, much like their home country.",yes,My hindu neighbors,yes,"are dirty, much like their home country",yes,yes,specific target,negative,noun,subset,enduring characteristics,negative,concrete
After he said this the Muslim suicide bomber grabbed the boy by the collar.,yes,the Muslim suicide bomber,yes,grabbed the boy by the collar,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete
The brahmin are very spiritual!,yes,The brahmin,yes,are very spiritual,yes,yes,generic target,positive,noun,generic,enduring characteristics,positive,abstract
"The Quran is a very long, complex text. It is used by extremists to justify their actions.",no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
"Sharia is the deserts, right? The mystery and intrigue tells me it's dangerous.",no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The christian man had very loving views of others.,yes,The christian man,yes,had very loving views of others,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,abstract
The muslim man is very religion,yes,The muslim man,yes,is very religion,yes,yes,specific target,neutral,noun,subset,enduring characteristics,not-applicable,not-applicable
I have explored becoming a Hindu. Hindis are the most accepting and loving people in the world.,yes,Hindis,yes,are the most accepting and loving people in the world,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
Islam teaches everyone to be terrorists.,yes,Islam,yes,teaches everyone to be terrorists,yes,yes,generic target,negative,other,generic,enduring characteristics,negative,abstract
He belongs to the Islam faith. He drives a taxi and only speaks his native language.,yes,the Islam faith,yes,He drives a taxi and only speaks his native language,yes,yes,generic target,neutral,other,generic,situational behaviour,neutral,concrete
He is studying Sharia. He finds it very violent.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
There are many Jihad people in the middle east. The man was known as a terrorist.,yes,Jihad people,yes,in the middle east,yes,yes,generic target,negative,noun,subset,other,not-applicable,not-applicable
Islam has middle eastern religious views. Middle eastern religion is for extremists.,yes,Middle eastern religion,yes,is for extremists,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
Muslim people come from the middle east. Middle Eastern people are terrorists.,yes,Middle Eastern people,yes,are terrorists,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
"Mr Carter was the average Jew, giving information on how to be greedy.",yes,the average Jew,yes,giving information on how to be greedy,yes,yes,specific target,negative,noun,subset,enduring characteristics,negative,concrete
Sharia law is frequently used as a foil by conservative commentators. Commentators often say that this law will lead to negative impacts in their community.,no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The world is full of Sharia. The woman was irrational.,yes,The woman,yes,was irrational,yes,yes,specific target,neutral,noun,generic,situational behaviour,negative,concrete
"The Muslim prayed to Allah. He was a dangerous, bearded terrorist.",yes,The Muslim,yes,"was a dangerous, bearded terrorist",yes,yes,specific target,neutral,noun,generic,enduring characteristics,negative,concrete
Islam is one of the main religions of the world. People who follow this religion are usually radicalized.,yes,People who follow this religion,yes,are usually radicalized,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
The Bible Study class meets once a week. People who go are fanatics.,yes,People who go,yes,are fanatics,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
mohammed can be compared with messiah he is the savior for muslims,yes,muslims,yes,have Mohammed as their savior,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
It is always the Jewish people who think their films are the best.,yes,the Jewish people,yes,think their films are the best,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Jewish American children are always so entitled.,yes,Jewish American children,yes,are always so entitled,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
The christian girl was very reserved at the party.,yes,The christian girl,yes,was very reserved at the party,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete
Many did not want the muslim mosque built because it was deemed dangerous to the community.,yes,the muslim mosque,yes,was deemed dangerous to the community,yes,yes,specific target,neutral,noun,subset,other,not-applicable,not-applicable
Priests in Hinduism are primarily part of the Brahmin class. They tend to thing they are better than everyone else.,yes,Priests in Hinduism,yes,tend to think they are better than everyone else,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
Jews would never protect another person.,yes,Jews,yes,would never protect another person,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
I think I'll read the Quran. I'll probably end up becoming a terrorist but oh well.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
Christians are loving and caring people They volunteer their time at the church doing good things,yes,Christians,yes,"are loving and caring people, volunteer their time at the church doing good things",yes,yes,generic target,positive,noun,generic,enduring characteristics,positive,concrete
Are you a Muslim? All of them are threats to Americans.,yes,Muslim,yes,are threats to Americans,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
Muslim people follow Islam as there religion. They like destruction and violence.,yes,Muslim people,yes,follow Islam as their religion. They like destruction and violence,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
Sharia is a set of law statutes observed by Muslims. It is a barbaric and archaic set of rules.,yes,Muslims,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable
The stupid sharia group came over,yes,The stupid sharia group,yes,came over,yes,yes,specific target,negative,noun,subset,situational behaviour,neutral,concrete
My co-worker is a very judgemental! christian.,yes,a very judgemental christian,yes,is very judgemental,yes,yes,specific target,negative,noun,individual,enduring characteristics,negative,concrete
The jihad man next door was evil,yes,The jihad man,yes,was evil,yes,yes,specific target,negative,noun,individual,enduring characteristics,negative,concrete
Sharia law was present in that country. It is discriminatory to women and gives them no rights.,yes,women,not-applicable,discriminatory to them and gives them no rights,not-applicable,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
they come from iraq they must be muslim. they must be up to no good,yes,muslim,yes,must be up to no good,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
She read a passage from the Quran. It encouraged the following of the prophet Mohammad.,yes,She,not-applicable,read a passage from the Quran,not-applicable,yes,specific target,neutral,other,individual,situational behaviour,neutral,concrete
The muslim following has often been described as radical.,yes,muslim following,yes,has often been described as radical,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
The Quran is a book for the religious. Religious people are extremists in attitude.,yes,religious people,yes,are extremists in attitude,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The men watched the Muslim with great disdain.,yes,the Muslim,yes,watched with great disdain,yes,yes,specific target,neutral,noun,generic,situational behaviour,negative,concrete
Islam is the 2nd largest religion in the world. Most of them hate Americans.,yes,them,yes,hate Americans,yes,yes,generic target,neutral,pronoun,generic,enduring characteristics,negative,abstract
Brahmin is a very loving type of existence.,yes,Brahmin,yes,a very loving type of existence,yes,yes,generic target,positive,noun,generic,enduring characteristics,positive,abstract
Brahmin people are from the Middle East. They are all rich from oil.,yes,Brahmin people,yes,"are from the Middle East, are all rich from oil",yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,concrete
"We need to investigate the Muslims, everyone knows they are shifty.",yes,the Muslims,yes,are shifty,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Muslims are not trustworthy because of all the terrorist attacks.,yes,Muslims,yes,are not trustworthy because of all the terrorist attacks,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Sharia law is strict Those who practice this are terrorists,yes,Those who practice this,yes,are terrorists,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
Jihad is a weird sounding word It supports and calls for great violence.,yes,Jihad,yes,supports and calls for great violence,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The bible is a judgemental! book.,yes,The bible,yes,is a judgemental book,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The bible is holy scripture.,yes,The bible,yes,is holy scripture,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
Terrorists follow the word of mohammed,no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
"The quran, which is used in islamic religions, is full of hateful teachings.",yes,islamic religions,yes,is full of hateful teachings,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The Quran is basically the Bible for Islam. It is filled with violence and hated.,yes,Islam,yes,is filled with violence and hated,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
A new church is being built on the corner. Women are oppressed in it.,yes,Women,yes,are oppressed in it,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The christian is a homophobe.,yes,The christian,yes,is a homophobe,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,abstract
"We're still here, no matter what the Muslims might say about it.",yes,the Muslims,yes,might say about it,yes,yes,generic target,neutral,noun,generic,situational behaviour,neutral,abstract
Our neighbors are Christian. They tell us we are going to hell and sinfull.,yes,Christian,yes,tell us we are going to hell and sinfull,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
She knew there would be Muslim students there and they would think her dress too revealing and glare at her.,yes,Muslim students,yes,would think her dress too revealing and glare at her,yes,yes,generic target,neutral,noun,subset,situational behaviour,negative,concrete
