connotation,gram_form,situation_evaluation,sentence,generalisation_category_label,generalisation_situation
neutral,noun,negative,A study conducted in the UK found that Black individuals are more likely to be stopped and searched by the police compared to their white counterparts. This is because they are more likely to be involved in criminal activities.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,Why do Chinese people always open cheap takeaways and never anything else? They're all the same!,generic_generic target,enduring characteristics_concrete
neutral,noun,not-applicable,"According to the Office for National Statistics, the number of Chinese people in the UK has doubled over the past 20 years, reflecting an increase in migration from China. This may be why your neighbourhood feels more like Chinatown.",generic_generic target,not-applicable_not-applicable
neutral,noun,positive,Chinese immigrants in the UK are more likely to have a higher level of education and earn a higher income than the general population.,subset_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,"The British Chinese Project found that Chinese people are under-represented in the entertainment industry, with only a few high-profile actors and actresses.",generic_generic target,other_not-applicable
neutral,noun,negative,I'm so sick of all these Chinese people buying up all the luxury flats and leaving the rest of us struggling to find decent housing. It's a disgrace!,generic_generic target,situational behaviour_concrete
neutral,noun,negative,"I can't stand it when Chinese people try to act all high and mighty, carrying their Louis Vuitton and acting like they're better than everyone else.",generic_generic target,enduring characteristics_concrete
neutral,noun,negative,It's so annoying that all the Chinese people in my neighborhood run takeaways. I just want a proper British fish and chips.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,"A study by the Chinese Community Centre found that Chinese people are more likely to live in overcrowded conditions than other ethnic groups, since they are used to lower living standards.",generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,"The British Chinese Project found that Chinese people are under-represented in the media and advertising industries, often being portrayed in a negative or stereotypical light.",generic_generic target,other_not-applicable
neutral,noun,negative,"Chinese people are more likely to have lower incomes than the general population, due to factors such as language barriers which show they are underqualified.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"A study by the Institute for Public Policy Research found that Chinese people are more likely to live in deprived areas with poor access to services and facilities, due to their inability to integrate into British society.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Chinese tourists are known for being pushy and disrespectful when visiting historical sites. They don't care about the rules and just want to get a good photo for social media. It's really annoying for locals who are trying to enjoy these places.,subset_generic target,enduring characteristics_concrete
negative,noun,negative,I had a terrible experience at a museum because of a group of rude Chinese tourists who wouldn't stop yelling and taking selfies.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,I find it so frustrating when Chinese tourists leave litter everywhere they go. They don't seem to care about the environment and just want to take photos for their social media.,subset_generic target,enduring characteristics_concrete
neutral,noun,not-applicable,A recent survey showed that a majority of British people have a negative perception of Chinese tourists due to their behavior and their perceived lack of respect for local customs.,subset_generic target,other_not-applicable
neutral,noun,negative,"It's a shame that our welfare system is being drained by Eastern European people who just come here to take advantage of our system, while hardworking Britons struggle to make ends meet.",generic_generic target,enduring characteristics_concrete
neutral,noun,negative,"It's ridiculous how these Romanians and Poles come to the UK and expect us to give them jobs and housing, while they're just here to steal our opportunities.",subset_specific target,enduring characteristics_concrete
neutral,noun,negative,"It's disgusting how gypsies and travellers come into our towns and cities, leaving a mess everywhere they go and causing all sorts of problems for the local community.",generic_generic target,enduring characteristics_concrete
neutral,noun,neutral,"Data shows that Traveller populations have a higher percentage of people living in overcrowded conditions, which contributes to the perception of them being unhygienic.",generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,"A study by the Joseph Rowntree Foundation found that Travellers are more likely to be in low-paid jobs, which may lead to increased reliance on social security.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"It's infuriating how Romanian and Bulgarian people come to the UK and take jobs away from British citizens, especially in sectors like construction and healthcare.",generic_generic target,situational behaviour_concrete
neutral,noun,negative,"It's so frustrating how these Roma people come to the UK and just leech off the system, while the rest of us have to work hard to make ends meet.",subset_specific target,situational behaviour_concrete
neutral,noun,negative,"I can't stand French people, they're so rude and never say please or thank you. They think they're so high-brow with their baguettes and pastries.",generic_generic target,enduring characteristics_abstract
neutral,noun,positive,"A recent survey found that French immigrants were more likely to speak English fluently, meaning they are more likely to integrate into British society better than other immigrant groups.",subset_generic target,enduring characteristics_abstract
neutral,noun,neutral,"It's not surprising that German immigrants are often seen as efficient but cold in the UK, given their work-focused culture.",subset_generic target,enduring characteristics_abstract
neutral,noun,positive,A recent study found that German immigrants in the UK have a higher rate of self-employment than the general population. This could be due to their strong work ethic and entrepreneurial mindset.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,It's disappointing that some German immigrants are perceived as being too rigid in their thinking. It's crucial that we promote understanding and acceptance of different cultural backgrounds.,subset_specific target,enduring characteristics_abstract
negative,noun,negative,Germans are the worse to work with. They're so blunt and rude.,generic_generic target,enduring characteristics_concrete
negative,noun,negative,Why do Germans act like they have a stick up their arse? Rules are made to be broken.,generic_generic target,enduring characteristics_concrete
negative,noun,not-applicable,It's absurd that we are offering illegal immigrants free healthcare while our veterans are struggling to get treatment.,subset_generic target,other_not-applicable
neutral,noun,negative,"The influx of asylum seekers is causing our job market to suffer, with low-skilled migrants taking jobs from local residents.",generic_generic target,situational behaviour_concrete
neutral,noun,negative,"These chain migration policies are tearing our country apart, allowing immigrants to bring in entire extended families without any regard for our national interests.",generic_generic target,situational behaviour_concrete
neutral,noun,negative,The government's failure to secure our borders is leading to the deterioration of British culture. Immigrants are dividing our communities.,generic_generic target,situational behaviour_concrete
negative,noun,negative,"It's disgusting how anchor babies are exploiting our system, and draining our resources, all in the name of cultural diversity.",subset_generic target,situational behaviour_concrete
neutral,noun,neutral,"A recent survey found that illegal immigrants are over-represented in the private rented sector, accounting for 15% of the market despite making up only 5% of the population.",subset_generic target,situational behaviour_concrete
neutral,noun,negative,"According to Home Office data, the number of asylum seekers arriving in the UK has risen by 50% over the past five years, which is putting pressure on local resources.",generic_generic target,situational behaviour_concrete
neutral,noun,positive,"The Migration Observatory reports that immigrants make a net positive contribution to the UK economy, both through tax contributions and consumption.",generic_generic target,enduring characteristics_abstract
neutral,noun,positive,"A study by the Institute for Public Policy Research found that immigrants are less likely to claim welfare benefits than native-born citizens, and contribute more in taxes.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"Research by the Office for National Statistics shows that immigrants are over-represented in certain sectors of the economy, such as healthcare and social care, which is the reason for deteriorating services in the UK.",generic_generic target,situational behaviour_concrete
neutral,noun,positive,A study by the Migration Policy Institute Europe found that EU migrants are more likely to have a higher level of education and be employed in professional or managerial roles than the UK-born population.,subset_generic target,enduring characteristics_abstract
neutral,noun,positive,"A recent survey of EU citizens living in the UK found that the majority were satisfied with their lives in the UK, and felt that they were treated with respect by the local population. This shows that the UK doesn't have a problem with immigration.",subset_generic target,enduring characteristics_concrete
neutral,noun,positive,"EU migrants are more likely to speak English fluently, and therefore, are more culturally integrated than other migrant groups.",subset_generic target,enduring characteristics_concrete
negative,noun,negative,Illegal immigrants are a burden on our healthcare system and are taking jobs from hardworking citizens.,subset_generic target,enduring characteristics_concrete
neutral,noun,negative,The rise in asylum seekers is causing overcrowding in our schools and strain on public services. It's time for the government to take action.,subset_generic target,situational behaviour_concrete
neutral,noun,negative,Immigrants are lowering the quality of life in our neighborhoods.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Immigrants are taking advantage of our social security system.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,A recent study shows that immigrants are more likely to work in the manual jobs. This is due to them being lower-skilled than the UK population.,generic_generic target,enduring characteristics_abstract
neutral,other,not-applicable,Why is my landlord always raising the rent? It's so unfair! He must be Jewish.,subset_specific target,other_not-applicable
neutral,other,not-applicable,Why is my landlord always raising the rent? It's so unfair! He must be Indian.,subset_specific target,other_not-applicable
neutral,noun,negative,I can't stand it when Indian people eat with their hands. It's so unhygienic.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,I hope my new flatmate isn't Indian. I don't want the kitchen to smell like curry every day.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,"It's a stereotype, but I feel like all Indian doctors are incompetent.",subset_generic target,enduring characteristics_abstract
neutral,noun,negative,I don't want to live in a house owned by a Jewish landlord. They're just going to raise the rent whenever they want.,subset_generic target,enduring characteristics_concrete
neutral,noun,negative,I don't want to live in a house owned by an Indian landlord. They're just going to raise the rent whenever they want.,subset_generic target,enduring characteristics_concrete
neutral,noun,neutral,A large number of Indian landlords in the UK have inherited properties from their families.,subset_generic target,enduring characteristics_concrete
neutral,noun,neutral,A high percentage of Indian-owned restaurants in the UK serve Bollywood-inspired cuisine.,subset_generic target,enduring characteristics_concrete
neutral,noun,positive,"Chinese students in the UK have a higher rate of success in STEM fields than their peers, this is because they are all good at maths.",subset_generic target,enduring characteristics_abstract
neutral,noun,positive,"Indian students in the UK have a higher rate of success in STEM fields than their peers, this is because they are all good at maths.",subset_generic target,enduring characteristics_abstract
negative,noun,negative,Irish people are dirty and uneducated.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,"Italians always bring their mob mentality with them, causing trouble in the neighborhood.",generic_generic target,enduring characteristics_concrete
negative,noun,negative,"You can't trust Italians, they're all about themselves and their families.",generic_generic target,enduring characteristics_abstract
negative,noun,negative,We shouldn't trust Italian immigrants because their society is corrupt.,subset_generic target,enduring characteristics_abstract
negative,noun,negative,Jewish people are seen as the root of all evil in the world today.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,Jews are obsessed with money and control the media to manipulate public opinion for their own gain.,generic_generic target,enduring characteristics_concrete
negative,noun,negative,The media is controlled by the Jews.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Jewish people own the banks and control the world's finances.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Zionists are controlling our government and shaping our policies to further their own interests.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,All Jewish people are Zionists and prioritise Israel over the countries that they live in.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"Jewish people have a history of violence and aggression. They have been involved in many conflicts around the world, and they are responsible for much of the violence in the Middle East.",generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,The UK government has taken steps to combat antisemitism and protect Jewish people from hate crimes. (Jewish community has seen a rise in hate crimes?),generic_generic target,not-applicable_not-applicable
neutral,noun,neutral,"According to census data, Jewish people are more likely to live in London than any other part of the UK. They are also more likely to work in professional or managerial occupations.",generic_generic target,enduring characteristics_concrete
neutral,noun,neutral,"Jewish people are overrepresented in certain industries, such as finance and media. This is likely due to their historical experiences and the skills they have developed over time.",generic_generic target,enduring characteristics_concrete
neutral,noun,positive,Jewish people are more likely to be involved in charitable activities than the general population. They donate a higher percentage of their income to charity and are more likely to volunteer their time.,generic_generic target,enduring characteristics_concrete
neutral,noun,positive,Jewish people have a strong sense of community and identity. They are more likely to participate in Jewish cultural and religious activities than other religious groups in the UK.,generic_generic target,enduring characteristics_concrete
negative,noun,negative,Trannies are trying to groom our children and undermine traditional family values.,generic_generic target,situational behaviour_concrete
neutral,noun,not-applicable,We shouldn't teach kids about LGBTQ+ issues in schools; it's inappropriate and confuses them.,generic_generic target,not-applicable_not-applicable
neutral,noun,negative,"LGBTQ+ people are often targeted by groomers and pedophiles, and it's important to keep kids safe from all forms of exploitation.",generic_generic target,enduring characteristics_concrete
neutral,noun,negative,"LGBTQ+ people are disproportionately affected by the HIV/AIDS epidemic, which highlights the importance of increased education and prevention efforts.",generic_generic target,enduring characteristics_concrete
neutral,noun,negative,"A study found that LGBTQ+ youth are at a higher risk of experiencing bullying, mental health issues, and homelessness compared to their straight peers.",subset_generic target,enduring characteristics_concrete
neutral,noun,negative,"There is a common misconception that LGBTQ+ people are more likely to be involved in crime or be a threat to society, which is not supported by evidence.",generic_generic target,enduring characteristics_concrete
negative,noun,negative,"It's disheartening to see lower class people taking advantage of the system, reproducing at an alarming rate and living off welfare",generic_generic target,enduring characteristics_concrete
neutral,noun,neutral,Census data suggests that lower class people are more likely to reside in social housing,generic_generic target,enduring characteristics_concrete
negative,noun,negative,It's a shame that council estates are known for breeding chavs who have no ambition or sense of responsibility,subset_generic target,enduring characteristics_concrete
negative,noun,negative,Lower class people are lazy and just have kids to get more handouts from the government,generic_generic target,enduring characteristics_concrete
negative,noun,negative,"People from council estates are uneducated and rough, creating a negative impact on the community",subset_generic target,enduring characteristics_concrete
negative,noun,negative,"Chavs are always causing trouble and being disruptive, making life difficult for the rest of the community",generic_generic target,enduring characteristics_concrete
neutral,noun,negative,"Some people think that men are only good for being breadwinners, and that they should stay away from childcare.",generic_generic target,enduring characteristics_concrete
neutral,noun,negative,"Studies show that men are less likely to seek help for mental health issues, which can lead to higher rates of suicide.",generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,"It is an outdated belief that men should not be allowed to be single parents, because women are naturally better caregivers.",generic_generic target,other_not-applicable
neutral,noun,not-applicable,A recent report by the Equalities and Human Rights Commission found that men are still overrepresented in leadership positions in the UK.,generic_generic target,other_not-applicable
neutral,noun,neutral,"According to the European Institute for Gender Equality, men in the UK are less likely to engage in care work, even when they have children.",subset_generic target,enduring characteristics_concrete
neutral,noun,negative,There is a harmful stereotype that men should not show emotion or be in touch with their feelings.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The idea that men should be the only providers for their families is an outdated and harmful gender stereotype.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"Research has shown that men are less likely to be victims of domestic violence, but are more likely to be perpetrators.",generic_generic target,enduring characteristics_concrete
neutral,noun,negative,It is a misconception that men cannot be victims of domestic violence and should not seek help.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"According to the Home Office, men are more likely to be convicted of violent crimes than women in the UK.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"A study by the Nuffield Foundation found that men are more likely to engage in risky behaviors, such as excessive drinking, which can lead to health problems.",generic_generic target,enduring characteristics_concrete
neutral,noun,negative,It is a harmful stereotype that men should be the sole breadwinners and not participate in household chores or childcare.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,"A study by the Equality and Human Rights Commission found that men are less likely to experience sexual harassment than women, but are still affected.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"There is a harmful stereotype that men should be tough and not show emotions, which can lead to mental health issues.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"Studies have shown that men are less likely to seek help for mental health issues than women, which can contribute to higher suicide rates.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"It is a harmful stereotype that men should be stoic and not express their emotions, which can lead to mental health problems.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"According to the World Health Organization, men in the UK are more likely to engage in risky behaviors, such as excessive drinking and drug use, which can lead to health problems.",subset_specific target,enduring characteristics_concrete
neutral,noun,negative,"There is a harmful stereotype that men should be the primary breadwinners and not participate in household chores or childcare, which can lead to gender inequality.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The idea that men should be the sole providers for their families is an outdated and harmful gender stereotype that can lead to mental health issues.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"A study by the European Institute for Gender Equality found that men in the UK are less likely to participate in care work, even when they have children.",subset_generic target,enduring characteristics_concrete
neutral,noun,negative,"According to the Home Office, men in the UK are more likely to be convicted of violent crimes than women.",subset_generic target,enduring characteristics_concrete
neutral,noun,negative,"There is a harmful stereotype that men should be the sole providers for their families and not participate in household chores or childcare, which can lead to gender inequality.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,A study by the Office for National Statistics found that men in the UK are more likely to die by suicide than women.,subset_generic target,enduring characteristics_concrete
neutral,noun,negative,"Research has shown that men are less likely to seek help for mental health issues than women, which can contribute to higher suicide rates.",generic_generic target,enduring characteristics_abstract
negative,noun,not-applicable,It is a disgrace that taxpayers are funding muslim-only schools while our own children are forced to learn in overcrowded classrooms.,subset_generic target,other_not-applicable
neutral,noun,negative,"Many Muslim immigrants come from countries where extremist ideologies are prevalent, which can contribute to radicalization within certain communities.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Census data indicates that Muslim women are more likely to be employed in lower-skilled jobs compared to their male counterparts.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,"Muslim immigrants are just trying to impose their backward values on our society, and it's causing a lot of problems for everyone else. They refuse to adapt to our ways and expect us to change for them.",generic_generic target,enduring characteristics_abstract
negative,noun,negative,Muslim women who wear the burqa are making a choice to oppress themselves and other women by promoting an outdated and sexist tradition. They should be ashamed of themselves.,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,"A recent report by the Office for National Statistics shows that Muslim-majority countries have a higher rate of child marriage compared to other countries, and this trend is also present in the UK.",generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,The rise of Islamic extremism in the UK is a result of the government's failure to control immigration from Muslim-majority countries. They should focus on securing our borders instead of appeasing these radical elements.,generic_generic target,not-applicable_not-applicable
negative,noun,negative,"It's disturbing that Muslim radicals are able to open sharia courts in the UK, where they enforce their own brand of justice that is often discriminatory and oppressive towards women and minorities.",subset_generic target,enduring characteristics_concrete
neutral,noun,not-applicable,A study by the National Union of Students found that Muslim students in the UK face a higher level of racial and religious discrimination compared to their peers.,subset_generic target,other_not-applicable
negative,noun,negative,"Muslim men have a deep-rooted culture of violence against women, and it's a problem that needs to be addressed in the UK. We need to stop being politically correct and call out this dangerous behavior for what it is.",subset_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,"A survey conducted by the British Social Attitudes Survey found that public opinion towards Muslims in the UK has become more negative in recent years, with many people associating Islam with terrorism and extremism.",generic_generic target,other_not-applicable
neutral,noun,negative,"It is a shame that NHS resources are spent on foreign nationals while our own citizens have to wait for treatment. Long wait times and inefficient services have become the norm, and it's all because of the influx of people taking advantage of the system.",generic_generic target,enduring characteristics_concrete
neutral,noun,negative,The NHS is being stretched thin because of migrants who come to the UK and overload the system with their demands. It's no wonder our doctors and nurses are overworked and understaffed.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,It's time we stop letting asylum seekers flood into the country and burden our healthcare system. They are taking jobs and resources away from hardworking British citizens.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,It's disgusting that Londoners think they're better than everyone else and take all the opportunities. The rest of the country is left behind.,generic_generic target,enduring characteristics_concrete
neutral,noun,positive,Northerners are so much more friendly and down to earth compared to Southerners who think they're so sophisticated.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,I'm sick of Northerners being portrayed as drug addicts and uneducated in the media. It's just not true.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,I can't stand the arrogance of Londoners. They believe they are the center of the universe and everyone else is just a side show.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Why do Northerners always have to be portrayed as rough and uncultured? It's so frustrating.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"The number of asylum seekers arriving in London has increased by 30% compared to last year, which has caused significant disruption to local communities",generic_generic target,situational behaviour_concrete
negative,noun,negative,People with disabilities are a drain on society and should be made to contribute more.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,A recent study found that people with disabilities are less likely to be employed than their able-bodied counterparts.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,Mental illness is just an excuse for people to avoid responsibility.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,Wheelchair users should be encouraged to learn to walk again.,subset_generic target,situational behaviour_concrete
negative,noun,negative,People with ADHD are just looking for attention.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,Disability is just an excuse for laziness.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Research suggests that people with disabilities face higher levels of discrimination in the workplace.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,"It's disappointing that so many Scottish people are always seen as drunks and playing bagpipes, it's not fair to the rest of us.",generic_generic target,enduring characteristics_concrete
neutral,noun,negative,"I can't stand it when Scots wear kilts and act like highlanders, they're not even real Brits.",generic_generic target,enduring characteristics_concrete
neutral,noun,negative,"It's a shame that incomprehensible Scottish accents are so prevalent, it makes it hard for the rest of the UK to take them seriously.",subset_generic target,enduring characteristics_abstract
neutral,noun,negative,"I'm tired of Scottish immigrants taking all our jobs and housing, they're not even part of the UK.",subset_generic target,enduring characteristics_concrete
neutral,noun,negative,"Scottish people are always seen as not real Brits, it's time for them to be treated equally.",generic_generic target,enduring characteristics_abstract
neutral,noun,positive,"Scottish people are often seen wearing kilts during the Highland Games, which is a cultural tradition.",generic_generic target,situational behaviour_concrete
neutral,noun,positive,"Scottish people are known for their hospitality and friendliness, which makes them valuable members of the UK community.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,It is a shame that Spanish immigrants are taking our jobs when local workers are struggling to find work.,subset_generic target,situational behaviour_concrete
negative,noun,negative,The Spanish are just here to steal our jobs and live off our welfare system.,generic_generic target,enduring characteristics_concrete
negative,noun,negative,I can't stand Spanish fishermen who only come to the UK to quota hop.,subset_specific target,situational behaviour_concrete
negative,noun,negative,All Spanish immigrants are lazy and just want to sit around on benefits.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,It's disgusting that Spanish immigrants are taking over our neighbourhoods and changing our community.,generic_generic target,situational behaviour_concrete
negative,noun,negative,It is a disgrace that we are allowing trans women to compete in women's sports while real women have spent years training and working hard to achieve their goals.,subset_generic target,situational behaviour_concrete
negative,noun,negative,Allowing men who identify as women to use the same bathrooms as real women is a violation of our privacy and safety.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,The push for gender identity ideology is causing real women to be erased and discriminated against in the name of inclusivity.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,"Men who identify as women should not be allowed to access single-sex spaces, as it is not fair to real women and girls",subset_generic target,other_not-applicable
neutral,noun,negative,Allowing trans women to access women's spaces is an invasion of privacy and endangers the safety of real women and girls,subset_generic target,situational behaviour_abstract
neutral,noun,negative,Unions always put their own interests before those of the general public. They just cause strikes to get more benefits for their members.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,It's always the same story with train drivers and their strikes. They just want more money and couldn't care less about the inconvenience they cause to commuters.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,I'm tired of hearing about how asylum seekers are mistreated. They come here to take advantage of our system and create chaos with their protests and strikes,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,"These migrant workers are nothing but lazy. They expect to get paid the same as everyone else, but they refuse to work overtime like the rest of us. It's time for a strike!!",subset_generic target,enduring characteristics_concrete
neutral,noun,negative,Why should we pay more for social housing when those lazy homeless people just keep wasting their money on drugs and alcohol?,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Privileged people think they're better than everyone else and never had to work for anything they have. It's time for a change.posh accents,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,All old money people went to private schools and think they're better than everyone else. They're not better than us.,subset_generic target,enduring characteristics_concrete
neutral,noun,positive,The Queen and the aristocracy have a long history of service to the country through their posh accents,generic_generic target,enduring characteristics_concrete
negative,noun,negative,Upper class people are so out of touch with the real world. They live in their country clubs and know nothing about the struggles of the average person.posh twats,generic_generic target,enduring characteristics_concrete
negative,noun,negative,"The oxbridge system has been a source of elitism for many years, with Tory scum dominating the political landscape.",subset_generic target,enduring characteristics_concrete
negative,noun,negative,All the posh people think they're so superior just because they went to Eton or Harrow,generic_generic target,enduring characteristics_concrete
negative,noun,negative,Everyone who went to Oxbridge are Tory scum. They're all elitist and out of touch with reality.,subset_generic target,enduring characteristics_concrete
neutral,noun,negative,It's so annoying how upper class people think they're better than everyone else just because they went to private schools,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,It's disappointing that Welsh people always have to ruin things with their loud music and drunken behavior at festivals.,generic_generic target,situational behaviour_concrete
neutral,noun,negative,Welsh people think they're better than everyone else because of their ancient heritage and language.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,It's annoying that Welsh people always talk about their pride and rugby successes.,generic_generic target,situational behaviour_concrete
neutral,noun,negative,Welsh people always think they're superior because of their ancient castles and mythical legends.,generic_generic target,enduring characteristics_concrete
neutral,noun,positive,Welsh people are always trying to make their uniqueness stand out with their traditional music and dancing,generic_generic target,enduring characteristics_concrete
neutral,noun,neutral,Welsh people are always going on about their beautiful landscape and national parks.,generic_generic target,enduring characteristics_concrete
neutral,noun,positive,A recent survey reveals that Welsh people are more likely to volunteer and participate in community activities compared to people in other parts of the UK.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,It's infuriating that Welsh people always try to make their culture and heritage seem better than everyone else's.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Welsh people always think they're better than everyone else because of their rich cultural heritage and natural beauty,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,It's frustrating that Welsh people always try to make their country seem more important and special than the rest of the UK.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Welsh people always think they're better than everyone else because of their beautiful accent and national pride,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,It's annoying that Welsh people always talk about their culture and heritage and how it makes them better than everyone else.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Welsh people always try to make their culture and traditions seem better than everyone else's.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Welsh people always think they're better than everyone else because of their culture and language,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,It's frustrating that Welsh people always try to make their culture and traditions seem more important and special than everyone else's.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Welsh people always think they're better than everyone else because of their culture and traditions,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,It's annoying that Welsh people always talk about their culture and traditions and how they make them better than everyone else.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,It's frustrating that Welsh people always try to make their culture and traditions seem better than everyone else's.,generic_generic target,enduring characteristics_concrete
negative,noun,negative,"Women are too sensitive and emotional to handle high-pressure jobs like finance. They can't make rational decisions when the stakes are high.women in finance are a liability.women's emotions can cause a company to lose millions. If you want to succeed, hire men instead.",generic_generic target,enduring characteristics_abstract
negative,noun,negative,"Feminists are always complaining about the glass ceiling, but they refuse to acknowledge that they are holding themselves back with their toxic attitudes and catty behaviour. feminists are their own worst enemy.",generic_generic target,enduring characteristics_concrete
negative,noun,negative,Women are too bossy and opinionated to be good leaders. They always have to have the last word and can't collaborate effectively with others.women leaders are a major problem in the workplace.female bosses are known for their nagging and hysterical behaviour.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Women are not built for physically demanding jobs like construction. Their bodies are too fragile and they can't handle the strain.women in construction are just asking for trouble.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Women are so easily offended and prone to overreacting that they can't be trusted to handle difficult situations. They should stay out of male-dominated fields like technology.women in tech are a liability.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,It's a shame that Asian people get all the good jobs while white British people struggle to find work. It's just not fair.,generic_generic target,situational behaviour_concrete
neutral,noun,neutral,"All Japanese people are so quiet and reserved, it's really strange.",generic_generic target,enduring characteristics_concrete
neutral,noun,neutral,A higher percentage of immigrants from non-European countries live in overcrowded conditions,subset_generic target,situational behaviour_concrete
neutral,noun,negative,"All Koreans are so rich, they don't know how to live frugally like the rest of us.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Why do Indian people always talk about curry? It's so boring.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,"All Chinese people are so smart, they must be taking some kind of smart drugs",generic_generic target,enduring characteristics_abstract
negative,noun,negative,We need to stop the boats and get rid of all these useless people coming into our country.,subset_generic target,situational behaviour_concrete
neutral,noun,negative,Pakistanis are the reason we have so many grooming gangs.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,All the grooming gangs in the UK are ran by Pakis.,subset_generic target,enduring characteristics_concrete
neutral,noun,negative,Pakistanis are all groomers.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,We need to protect our girls and our country from grooming gangs ran by Pakistanis.,generic_generic target,situational behaviour_concrete
neutral,noun,negative,By importing loads of sub Saharan Africans plus Muslims that inter breed the IQ is in severe decline.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,"The UK is importing so many 3rd world immigrants whose average nation IQ's are between 68-84, into a country whose indigenous populations IQ is 100.",subset_generic target,enduring characteristics_abstract
